Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
4/15/2021,85.67,3549400,85.85,86.89,85.5,1180200,1343000,-16.2
4/16/2021,83.77,4876400,85.67,85.67,83.34,104400,1631800,-148.7
4/19/2021,83.08,5722900,83.77,84.29,82.22,900400,3641060,-262.6
4/20/2021,85.85,6987200,83.08,87.32,83.77,1395800,2706438,-129.7
4/22/2021,84.72,3166300,85.85,86.02,83.86,1592900,1359200,-12.1
4/23/2021,86.02,3556800,84.72,86.37,83.69,1655700,670600,96.5
4/26/2021,82.99,5045600,86.02,86.02,82.99,2626800,3041314,-40.3
4/27/2021,82.74,3149400,82.99,83.43,82.13,3018400,3072600,-5
4/28/2021,81.01,5027100,82.74,82.82,80.83,1540600,2269200,-68.7
4/29/2021,80.83,6499700,81.01,81.44,79.1,1033600,3368800,-216.1
5/4/2021,79.19,4112800,80.83,80.83,79.1,1104000,1614800,-46.6
5/5/2021,79.54,3792300,79.19,80.4,79.19,1024500,1725700,-64.6
5/6/2021,77.46,7448600,79.54,79.54,77.46,753500,3925800,-287.3
5/7/2021,75.21,6744500,77.46,77.46,75.04,1121500,2211500,-95.7
5/10/2021,80.4,8176900,75.21,80.4,74.44,2787200,2275100,46.3
5/11/2021,78.84,4197000,80.4,81.7,78.84,618900,914200,-27.1
5/12/2021,79.36,3199300,78.84,79.71,77.81,681100,682600,-0.2
5/13/2021,78.24,3118400,79.36,79.36,78.24,609500,325200,25.8
5/14/2021,77.38,4391200,78.24,78.84,77.38,646400,1921000,-114.9
5/17/2021,75.39,5001300,77.38,77.81,75.39,475300,2476400,-176.1
5/18/2021,75.21,2970100,75.39,76.08,75.04,68100,1076000,-88
5/19/2021,75.65,3526100,75.21,76.94,75.3,930900,2184907,-110.2
5/20/2021,76.08,2800500,75.65,76.16,75.21,567300,1002000,-38.1
5/21/2021,77.12,3942800,76.08,78.5,75.3,2319700,2433420,-9.9
5/24/2021,78.84,4349800,77.12,79.45,77.38,801000,270900,48.2
5/25/2021,78.24,2791200,78.84,78.84,77.81,910200,543800,33.2
5/26/2021,78.67,3773300,78.24,79.45,77.2,1479200,741900,67.1
5/27/2021,78.24,2924300,78.67,79.19,77.81,911400,174100,67.1
5/28/2021,78.76,3122200,78.24,79.28,78.15,651100,176400,43.2
5/31/2021,78.24,3095900,78.76,79.54,77.98,827200,1006991,-16.3
6/1/2021,77.72,2339900,78.24,78.41,77.72,133800,541100,-36.7
6/2/2021,77.29,3672400,77.72,77.72,76.94,203400,869500,-59.5
6/3/2021,77.98,3629000,77.29,78.5,77.63,618500,1054200,-39.3
6/4/2021,77.38,4564400,77.98,78.67,77.03,570700,2484000,-171.8
6/7/2021,78.25,3736600,77.38,78.43,77.03,761000,729800,3
6/8/2021,78.51,5477700,78.25,79.91,78.25,1247600,2404798,-104.5
6/9/2021,77.99,3013500,78.51,78.86,77.73,754100,622000,11.8
6/10/2021,80.7,5619300,77.99,81.93,77.55,1748000,737600,90.7
6/11/2021,80.53,2940400,80.7,80.96,79.83,614200,144400,43.2
6/14/2021,80.96,4875100,80.53,81.84,80.09,1075500,741100,30.7
6/15/2021,81.31,4534800,80.96,81.58,80.61,1811600,1315100,46
6/16/2021,80.35,3041200,81.31,81.4,79.91,1540300,915200,57.8
